pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d
"[-3426.44,-8653.05,12.3396]",391,591,3.15816,4.75299,21.163,182.818,1644573.250000,1644561.250000,1289871.375000,1289859.875000,354702.187500,354702.187500,0.000000,0.000000,0.513428,0.531223,
"[-3398.267215,-9026.939746,19.720848]",1886,704,0.179091,1.662081,278.085602,201.239573,1986558.875000,1971893.625000,1631856.500000,1617190.750000,354702.187500,354702.187500,0.000000,0.000000,0.333188,0.342686,
"[-2918.305635,-8830.680651,22.274498]",1101,2624,1.075204,1.568415,325.848053,119.590854,1955370.500000,1964294.125000,1600668.625000,1609592.500000,354702.187500,354702.187500,0.000000,0.000000,0.383734,0.378166,
"[-2588.795809,-8933.417377,15.674546]",1512,3942,4.359357,3.071281,253.511108,232.837578,1666627.750000,1679855.000000,1311924.750000,1325153.250000,354702.187500,354702.187500,0.000000,0.000000,0.511463,0.502293,
"[-2834.400494,-9502.488043,9.918320]",3789,2959,1.063760,1.530612,242.049026,215.123683,2110232.000000,2109359.500000,1755529.625000,1754656.625000,354702.187500,354702.187500,0.000000,0.000000,0.261354,0.261026,
"[-3126.641529,-9131.526070,16.558656]",2305,1790,2.077249,3.652271,275.753906,84.697774,1819316.875000,1839483.250000,1464613.625000,1484780.375000,354702.187500,354702.187500,0.000000,0.000000,0.448253,0.437773,
"[-3123.250405,-9208.402062,15.468182]",2612,1804,1.817705,3.712827,271.672089,280.434960,1504147.500000,1620991.375000,1149445.000000,1266289.750000,354702.187500,354702.187500,0.000000,0.000000,0.616266,0.566048,
"[-3404.780860,-9096.316462,19.585096]",2164,678,0.153416,3.007816,305.139130,250.432557,1545491.500000,1550401.375000,1190788.500000,1195699.125000,354702.187500,354702.187500,0.000000,0.000000,0.593886,0.591157,
"[-2835.340607,-8780.775151,20.993494]",902,2956,2.934793,4.370017,278.994141,257.625953,1842716.750000,1884345.125000,1488015.000000,1529643.125000,354702.187500,354702.187500,0.000000,0.000000,0.396397,0.378493,
"[-2569.489905,-8911.087693,32.982610]",1423,4019,0.406089,1.145698,294.737457,246.612738,2167622.750000,2166741.500000,1812921.500000,1812040.125000,354702.187500,354702.187500,0.000000,0.000000,0.131332,0.160480,
"[-2899.536938,-8922.218906,21.608137]",1467,2699,2.182833,1.572911,270.313965,69.131330,2059635.250000,2067205.125000,1704932.500000,1712503.000000,354702.187500,354702.187500,0.000000,0.000000,0.321725,0.316048,
"[-2787.361237,-8679.921651,20.077615]",498,3148,0.496559,2.102025,43.234318,358.664712,1644482.250000,1668337.125000,1289781.125000,1313635.500000,354702.187500,354702.187500,0.000000,0.000000,0.509170,0.497162,
"[-3350.153543,-8725.959811,11.115459]",682,896,0.377531,0.725904,107.068588,345.513461,1284046.750000,1296261.125000,929344.375000,941558.875000,354702.187500,354702.187500,0.000000,0.000000,0.685699,0.681332,
"[-2973.973791,-8717.115373,20.802110]",647,2401,2.232462,3.055457,87.246086,45.163388,2028021.625000,2032968.375000,1673320.000000,1678266.875000,354702.187500,354702.187500,0.000000,0.000000,0.299454,0.297817,
"[-2861.025855,-8882.906555,21.166942]",1310,2853,2.000600,3.840640,174.742981,328.179353,1243835.500000,1272130.625000,889133.812500,917428.812500,354702.187500,354702.187500,0.000000,0.000000,0.643668,0.631550,
"[-3390.343400,-9005.148126,19.829065]",1799,736,0.220662,3.077180,110.966209,116.679712,2073575.000000,2068970.000000,1718872.000000,1714267.375000,354702.187500,354702.187500,0.000000,0.000000,0.288865,0.294432,
"[-3240.932485,-9511.668772,11.262227]",3825,1333,0.243933,0.378562,43.783829,303.558001,2012216.125000,2032268.375000,1657514.625000,1677566.375000,354702.187500,354702.187500,0.000000,0.000000,0.344105,0.335153,
"[-2682.471417,-9311.239675,12.230978]",3024,3567,2.337536,2.851151,248.491287,261.457570,1892304.250000,1905390.875000,1537602.125000,1550687.875000,354702.187500,354702.187500,0.000000,0.000000,0.399891,0.394105,
"[-3199.567486,-9144.843171,18.299688]",2358,1499,0.888951,1.831419,353.673035,354.484595,1912159.250000,1929157.000000,1557457.625000,1574454.750000,354702.187500,354702.187500,0.000000,0.000000,0.377074,0.368886,
"[-2806.801444,-9155.335432,17.167789]",2400,3070,2.557501,1.393684,256.779999,203.016867,1970782.375000,1993570.000000,1616081.125000,1638868.000000,354702.187500,354702.187500,0.000000,0.000000,0.373581,0.358406,
"[-2822.111866,-9548.929751,9.229242]",3974,3008,1.920151,3.675398,23.259155,52.455659,2177974.250000,2180307.750000,1823271.875000,1825605.750000,354702.187500,354702.187500,0.000000,0.000000,0.162991,0.156769,
"[-3256.712964,-8959.917063,21.696996]",1618,1270,0.598434,2.582895,78.150406,216.728253,1177292.250000,1216375.875000,822590.250000,861673.875000,354702.187500,354702.187500,0.000000,0.000000,0.688974,0.679694,
"[-2746.734898,-9167.811807,16.001571]",2450,3310,4.572713,3.269285,247.230042,229.528865,1783388.125000,1788113.000000,1428685.750000,1433410.000000,354702.187500,354702.187500,0.000000,0.000000,0.421616,0.423690,
"[-3424.086764,-8991.595622,19.695510]",1745,601,0.282024,0.415594,308.202118,109.815597,1766697.125000,1803186.375000,1411993.750000,1448484.000000,354702.187500,354702.187500,0.000000,0.000000,0.431878,0.411463,
"[-2821.373205,-9491.659491,9.919088]",3745,3011,0.323538,1.739855,320.516541,193.085189,2081478.625000,2083804.750000,1726777.125000,1729103.000000,354702.187500,354702.187500,0.000000,0.000000,0.300109,0.297707,
"[-3297.037123,-9454.802060,12.333199]",3598,1109,4.844733,4.604618,324.362885,170.308583,1396803.375000,1417328.250000,1042102.000000,1062627.500000,354702.187500,354702.187500,0.000000,0.000000,0.608515,0.594432,
"[-2810.864078,-9431.127214,10.349841]",3503,3053,0.505245,4.583334,29.234554,309.508757,1936919.000000,1938502.125000,1582218.125000,1583800.875000,354702.187500,354702.187500,0.000000,0.000000,0.371616,0.370742,
"[-2832.453115,-9505.279253,9.871153]",3800,2967,1.171640,0.956703,281.321472,263.104628,2057703.375000,2060737.375000,1703001.000000,1706035.500000,354702.187500,354702.187500,0.000000,0.000000,0.300109,0.299236,
"[-3407.231870,-9076.475326,19.549776]",2084,668,1.968436,2.739303,3.714877,346.376043,1570073.500000,1572778.375000,1215371.500000,1218076.625000,354702.187500,354702.187500,0.000000,0.000000,0.497162,0.495524,
"[-3268.934441,-8890.540348,21.552579]",1341,1221,1.052578,2.456764,102.092682,112.909891,1987716.125000,1994639.125000,1633014.250000,1639936.500000,354702.187500,354702.187500,0.000000,0.000000,0.376201,0.369432,
"[-3377.618291,-9030.941602,19.762443]",1902,786,0.845435,4.171025,56.957970,349.796860,2056078.125000,2036587.000000,1701376.875000,1681886.250000,354702.187500,354702.187500,0.000000,0.000000,0.296507,0.312336,
"[-2957.823982,-8708.674483,20.498878]",613,2466,1.057471,4.191791,80.399467,314.971706,1993378.000000,2001018.000000,1638676.250000,1646315.625000,354702.187500,354702.187500,0.000000,0.000000,0.310699,0.306441,
"[-2989.888572,-8722.933197,20.993181]",670,2337,1.240639,4.228009,121.875938,114.010105,2037735.500000,2044762.125000,1683032.875000,1690059.375000,354702.187500,354702.187500,0.000000,0.000000,0.294541,0.287664,
"[-2784.205141,-9109.499047,17.510763]",2217,3160,0.782583,4.679749,333.669312,305.255696,1686769.875000,1707022.875000,1332068.000000,1352320.875000,354702.187500,354702.187500,0.000000,0.000000,0.506114,0.495306,
"[-3397.830734,-9327.617019,15.201596]",3089,706,0.856763,0.666058,236.459915,234.111406,1546332.875000,1557562.625000,1191630.125000,1202860.625000,354702.187500,354702.187500,0.000000,0.000000,0.557314,0.549891,
"[-3376.476724,-9024.787487,19.753780]",1878,791,0.914017,2.386955,307.104156,287.186059,2063728.250000,2040585.375000,1709026.750000,1685884.125000,354702.187500,354702.187500,0.000000,0.000000,0.296834,0.311900,
"[-3452.390900,-8905.707046,17.744310]",1401,487,4.862024,3.098538,200.818817,162.773965,1851187.750000,1841091.125000,1496485.000000,1486388.000000,354702.187500,354702.187500,0.000000,0.000000,0.365066,0.420742,
"[-3445.340047,-8726.329731,39.397615]",684,516,4.527196,3.993032,328.490875,54.800261,1453157.125000,1459915.875000,1098455.500000,1105213.875000,354702.187500,354702.187500,0.000000,0.000000,0.546288,0.548144,
