pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d
"[-3422.34,-9237.42,39.7607]",2728,608,3.10447,2.25915,236.46,218.452,79070.460938,78203.984375,57705.390625,56838.902344,21365.080078,21365.080078,0.000000,0.000000,0.500000,0.507937,
"[-2806.062783,-9270.279501,13.271620]",2860,3073,1.724768,1.835436,236.829575,24.036221,76986.664063,77283.500000,55621.589844,55918.425781,21365.080078,21365.080078,0.000000,0.000000,0.515873,0.511111,
"[-3174.923079,-9561.036207,10.718626]",4023,1597,1.198283,1.435110,296.910858,288.617853,77831.039063,78682.656250,56465.968750,57317.574219,21365.080078,21365.080078,0.000000,0.000000,0.438095,0.433333,
"[-3284.009834,-8870.026631,19.650220]",1259,1161,1.678880,2.722930,187.545853,172.420115,87043.992188,87303.148438,65678.914063,65938.070313,21365.080078,21365.080078,0.000000,0.000000,0.417460,0.415873,
"[-3178.515656,-9297.888945,14.384703]",2970,1583,2.217994,3.455352,322.490295,0.147692,66953.640625,66829.351563,45588.566406,45464.273438,21365.080078,21365.080078,0.000000,0.000000,0.507937,0.506349,
"[-3351.899468,-9524.582324,17.931959]",3877,889,0.817669,3.685515,258.795197,294.558574,45451.316406,45839.136719,24086.228516,24474.056641,21365.080078,21365.080078,0.000000,0.000000,0.707937,0.695238,
"[-2594.335765,-8896.761721,15.580851]",1366,3920,1.445785,2.501415,317.416412,22.227243,64148.730469,61309.621094,42783.656250,39944.542969,21365.080078,21365.080078,0.000000,0.000000,0.615873,0.631746,
"[-3364.322398,-9074.323068,19.625314]",2076,840,3.759599,4.326986,267.108368,111.713442,89526.210938,89468.195313,68161.125000,68103.125000,21365.080078,21365.080078,0.000000,0.000000,0.395238,0.395238,
"[-2981.360398,-8735.275056,21.268507]",720,2372,1.977916,1.709515,140.573669,109.009066,89940.179688,92046.375000,68575.101563,70681.296875,21365.080078,21365.080078,0.000000,0.000000,0.333333,0.295238,
"[-2857.433277,-9563.356611,9.147799]",4032,2867,0.703510,4.745239,302.510101,300.017432,84299.500000,84869.429688,62934.410156,63504.347656,21365.080078,21365.080078,0.000000,0.000000,0.441270,0.422222,
"[-3032.361563,-8877.391392,22.131549]",1288,2167,1.172233,1.737396,281.027130,140.432985,83685.570313,83657.765625,62320.488281,62292.687500,21365.080078,21365.080078,0.000000,0.000000,0.409524,0.411111,
"[-3125.634264,-9406.678899,15.749643]",3405,1794,2.191746,2.933783,112.493126,111.040458,90925.765625,91147.687500,69560.687500,69782.617188,21365.080078,21365.080078,0.000000,0.000000,0.344444,0.336508,
"[-3385.743559,-8928.036731,19.832471]",1491,754,2.913974,3.786243,103.592598,18.302990,95764.578125,95764.578125,74399.500000,74399.500000,21365.080078,21365.080078,0.000000,0.000000,0.261905,0.261905,
"[-3423.851736,-8787.299186,17.701704]",928,602,3.579778,4.043409,253.371704,24.639675,98416.265625,94142.742188,77051.171875,72777.656250,21365.080078,21365.080078,0.000000,0.000000,0.142857,0.273016,
"[-2822.649073,-9493.240056,9.919151]",3752,3006,0.326961,0.293997,320.458618,102.970497,93307.257813,93145.617188,71942.171875,71780.531250,21365.080078,21365.080078,0.000000,0.000000,0.328571,0.331746,
"[-3328.295901,-8985.744168,21.666952]",1722,984,1.419773,1.802010,51.408020,5.574768,67908.500000,72188.328125,46543.421875,50823.238281,21365.080078,21365.080078,0.000000,0.000000,0.563492,0.531746,
"[-3426.537775,-8997.884253,19.667171]",1770,591,1.505959,1.625461,139.817337,315.692304,65021.597656,65709.390625,43656.515625,44344.304688,21365.080078,21365.080078,0.000000,0.000000,0.561905,0.555556,
"[-2846.621971,-9534.233859,9.240318]",3916,2910,3.338613,1.247931,270.077271,210.596422,96965.835938,97068.429688,75600.765625,75703.351563,21365.080078,21365.080078,0.000000,0.000000,0.203175,0.200000,
"[-2889.800047,-8681.670362,20.124698]",505,2738,0.571790,1.055911,83.773476,76.741695,80590.906250,81859.750000,59225.816406,60494.675781,21365.080078,21365.080078,0.000000,0.000000,0.382540,0.382540,
"[-3347.635382,-9264.058128,15.916530]",2835,906,1.504249,4.811858,227.409286,313.296225,53626.054688,53330.968750,32260.970703,31965.886719,21365.080078,21365.080078,0.000000,0.000000,0.725397,0.728571,
"[-3261.447107,-9052.565077,55.589841]",1989,1251,1.233112,2.104990,101.080925,61.285216,98806.664063,98806.664063,77441.562500,77441.562500,21365.080078,21365.080078,0.000000,0.000000,0.065079,0.065079,
"[-3281.894579,-8897.703334,21.517490]",1369,1169,1.824868,0.847154,150.318726,42.468167,49241.011719,65087.804688,27875.929688,43722.738281,21365.080078,21365.080078,0.000000,0.000000,0.693651,0.587302,
"[-3078.796460,-9536.655151,10.597284]",3925,1982,0.997982,1.189725,79.326775,64.550967,56535.191406,56545.238281,35170.109375,35180.160156,21365.080078,21365.080078,0.000000,0.000000,0.550794,0.541270,
"[-3080.575961,-9367.332919,12.323298]",3248,1975,1.043680,4.365393,347.208160,274.150199,67179.695313,70293.234375,45814.617188,48928.152344,21365.080078,21365.080078,0.000000,0.000000,0.604762,0.580952,
"[-2603.636174,-8649.218335,16.466388]",375,3882,0.552086,1.128566,283.594757,21.011397,52886.226563,53128.261719,31521.150391,31763.187500,21365.080078,21365.080078,0.000000,0.000000,0.722222,0.720635,
"[-3135.807637,-9529.290390,10.463153]",3896,1754,4.941721,1.912509,88.944885,235.649551,79713.773438,79685.242188,58348.691406,58320.152344,21365.080078,21365.080078,0.000000,0.000000,0.409524,0.414286,
"[-3311.138828,-9374.294131,13.879275]",3276,1052,3.132761,3.018024,296.152069,313.561003,59314.078125,58454.347656,37948.988281,37089.257813,21365.080078,21365.080078,0.000000,0.000000,0.655556,0.663492,
"[-3366.135475,-9057.374030,19.727487]",2008,832,1.239650,3.056451,85.612137,196.199056,95941.804688,95978.539063,74576.742188,74613.468750,21365.080078,21365.080078,0.000000,0.000000,0.252381,0.252381,
"[-3079.770150,-9531.745310,10.524212]",3906,1978,0.755732,3.017980,43.388771,319.766413,61511.390625,63224.476563,40146.304688,41859.390625,21365.080078,21365.080078,0.000000,0.000000,0.487302,0.473016,
"[-3000.565577,-8758.849015,21.362583]",814,2295,0.223605,4.585075,138.883881,222.037336,84611.000000,84723.015625,63245.914063,63357.925781,21365.080078,21365.080078,0.000000,0.000000,0.461905,0.455556,
"[-3014.868734,-9267.589178,14.471485]",2849,2237,0.503088,2.861543,44.784389,6.133276,70694.531250,71796.609375,49329.445313,50431.535156,21365.080078,21365.080078,0.000000,0.000000,0.573016,0.549206,
"[-2861.462336,-9176.118181,15.895554]",2483,2851,3.578751,4.453539,342.751190,348.146941,63528.519531,64099.996094,42163.445313,42734.921875,21365.080078,21365.080078,0.000000,0.000000,0.628571,0.600000,
"[-2609.814064,-9562.885804,9.413119]",4030,3858,4.211184,3.099122,211.804016,153.664510,94572.226563,94219.398438,73207.156250,72854.328125,21365.080078,21365.080078,0.000000,0.000000,0.239683,0.253968,
"[-2881.439750,-8661.661081,19.626714]",425,2771,0.848639,4.969985,345.015350,317.369006,85319.367188,85761.984375,63954.289063,64396.902344,21365.080078,21365.080078,0.000000,0.000000,0.392063,0.369841,
"[-3235.996889,-9449.925849,11.416177]",3578,1353,1.635266,2.891366,195.858109,198.996304,81098.179688,82750.398438,59733.085938,61385.316406,21365.080078,21365.080078,0.000000,0.000000,0.414286,0.401587,
"[-3047.504107,-9455.541899,11.373151]",3601,2107,1.400031,0.874502,209.893936,209.472519,65773.593750,73459.320313,44408.527344,52094.234375,21365.080078,21365.080078,0.000000,0.000000,0.641270,0.569841,
"[-2729.745702,-9512.240465,9.261232]",3828,3378,1.979453,2.920500,224.386246,177.346084,55368.765625,57329.335938,34003.687500,35964.253906,21365.080078,21365.080078,0.000000,0.000000,0.644444,0.617460,
"[-2750.596079,-9105.261787,16.995285]",2200,3295,2.770748,3.044950,262.700226,179.795531,52577.515625,54857.839844,31212.433594,33492.757813,21365.080078,21365.080078,0.000000,0.000000,0.723810,0.706349,
"[-3278.939936,-9486.985054,11.654201]",3727,1181,0.784601,1.868007,284.461060,231.405102,71369.164063,77724.062500,50004.074219,56358.972656,21365.080078,21365.080078,0.000000,0.000000,0.555556,0.504762,
"[-2767.450973,-9104.790981,17.063539]",2198,3227,0.418435,1.004241,78.795715,51.035664,69906.218750,70993.570313,48541.140625,49628.500000,21365.080078,21365.080078,0.000000,0.000000,0.615873,0.606349,
"[-3072.920750,-9536.655151,10.589524]",3925,2005,1.615105,0.896326,77.293999,202.227091,51802.699219,52108.687500,30437.615234,30743.609375,21365.080078,21365.080078,0.000000,0.000000,0.612698,0.606349,
"[-3038.337999,-8748.289496,20.939935]",772,2144,0.925780,1.315071,167.151367,347.864510,94421.953125,94515.843750,73056.890625,73150.773438,21365.080078,21365.080078,0.000000,0.000000,0.255556,0.241270,
"[-3242.611259,-9002.491432,21.666782]",1789,1327,0.629233,1.125553,209.369675,305.830371,40389.578125,44368.105469,19024.498047,23003.031250,21365.080078,21365.080078,0.000000,0.000000,0.704762,0.665079,
"[-3388.026692,-8997.144414,19.805118]",1767,745,1.641656,2.127010,87.341339,53.656673,80189.281250,80062.804688,58824.195313,58697.722656,21365.080078,21365.080078,0.000000,0.000000,0.455556,0.460317,
"[-3070.133985,-8872.750584,22.261386]",1270,2016,0.219417,2.569744,263.278503,26.616933,94773.250000,94588.609375,73408.179688,73223.523438,21365.080078,21365.080078,0.000000,0.000000,0.266667,0.271429,
"[-2792.968343,-8757.066676,22.913511]",807,3125,3.259165,2.794618,331.562775,204.704489,69347.804688,69615.406250,47982.718750,48250.324219,21365.080078,21365.080078,0.000000,0.000000,0.376190,0.388889,
"[-2825.032933,-9487.354974,9.899129]",3728,2997,0.922079,2.739748,180.991394,188.424283,86589.078125,87766.648438,65224.000000,66401.578125,21365.080078,21365.080078,0.000000,0.000000,0.422222,0.407937,
"[-2981.125370,-8787.702734,21.761949]",929,2372,0.847416,0.392300,161.742615,133.364299,91482.414063,91637.609375,70117.328125,70272.515625,21365.080078,21365.080078,0.000000,0.000000,0.358730,0.350794,
"[-2799.717016,-9344.330654,11.684429]",3156,3098,1.832857,2.269069,226.370544,217.679846,79679.531250,80868.968750,58314.449219,59503.886719,21365.080078,21365.080078,0.000000,0.000000,0.401587,0.382540,
"[-3321.547228,-9361.615982,14.293554]",3225,1011,3.211362,0.383630,310.016296,276.914654,59260.867188,55151.957031,37895.785156,33786.875000,21365.080078,21365.080078,0.000000,0.000000,0.660317,0.701587,
"[-3230.926990,-9094.735897,18.777574]",2158,1373,4.020854,4.490125,293.370667,264.885246,86312.468750,86114.109375,64947.394531,64749.027344,21365.080078,21365.080078,0.000000,0.000000,0.385714,0.387302,
"[-3136.210543,-8907.859305,21.925422]",1410,1752,0.788478,1.149712,149.924179,94.566622,84534.671875,86959.820313,63169.585938,65594.750000,21365.080078,21365.080078,0.000000,0.000000,0.433333,0.390476,
"[-3155.751476,-8667.344389,12.441073]",448,1674,2.259594,1.912644,244.403595,211.044875,59518.675781,60351.046875,38153.597656,38985.972656,21365.080078,21365.080078,0.000000,0.000000,0.696825,0.690476,
"[-2584.800326,-8903.117610,26.243187]",1391,3958,0.217008,0.808883,114.945427,123.596569,78954.898438,78603.406250,57589.804688,57238.312500,21365.080078,21365.080078,0.000000,0.000000,0.461905,0.458730,
"[-3419.721951,-8793.957736,17.524589]",954,618,4.628138,2.856657,9.194892,322.557921,95893.523438,94724.468750,74528.453125,73359.390625,21365.080078,21365.080078,0.000000,0.000000,0.246032,0.266667,
"[-3306.102505,-9004.811836,21.634412]",1798,1073,0.520841,2.055901,322.733398,280.157930,75402.382813,75210.593750,54037.308594,53845.515625,21365.080078,21365.080078,0.000000,0.000000,0.525397,0.526984,
"[-3153.569069,-8919.494954,21.827053]",1457,1683,0.505204,2.019061,294.804993,326.671452,74492.210938,73588.296875,53127.128906,52223.222656,21365.080078,21365.080078,0.000000,0.000000,0.512698,0.522222,
"[-2581.577080,-9128.734859,13.364038]",2294,3971,3.562924,3.358485,317.646271,118.663541,79007.859375,77936.539063,57642.777344,56571.453125,21365.080078,21365.080078,0.000000,0.000000,0.482540,0.526984,
"[-2960.711474,-9434.389231,11.782847]",3516,2454,2.482636,4.317054,45.031189,291.961947,66504.359375,66608.789063,45139.285156,45243.710938,21365.080078,21365.080078,0.000000,0.000000,0.534921,0.534921,
"[-3173.680786,-9541.901281,10.705572]",3946,1602,0.533414,1.184326,83.291023,130.694388,90011.687500,89984.257813,68646.601563,68619.179688,21365.080078,21365.080078,0.000000,0.000000,0.304762,0.311111,
"[-3318.693312,-9000.776351,21.657053]",1782,1022,0.462472,1.825058,276.764801,45.661675,76581.945313,75376.359375,55216.875000,54011.281250,21365.080078,21365.080078,0.000000,0.000000,0.538095,0.547619,
"[-3331.015516,-8725.320859,21.724437]",680,973,0.297352,3.070480,44.821323,245.080256,69312.250000,69507.390625,47947.175781,48142.316406,21365.080078,21365.080078,0.000000,0.000000,0.592063,0.588889,
"[-2584.632449,-9147.802526,13.066480]",2370,3958,1.817960,2.393610,223.345444,224.559109,60031.609375,60010.039063,38666.527344,38644.953125,21365.080078,21365.080078,0.000000,0.000000,0.639683,0.641270,
"[-3431.809126,-8803.474755,17.469032]",992,570,0.106212,3.576285,16.159986,333.262275,98569.718750,94838.398438,77204.632813,73473.320313,21365.080078,21365.080078,0.000000,0.000000,0.130159,0.250794,
"[-3114.487203,-8913.340839,22.523365]",1432,1839,3.373890,3.050621,41.544022,308.020866,91474.398438,91430.562500,70109.312500,70065.468750,21365.080078,21365.080078,0.000000,0.000000,0.358730,0.358730,
"[-2845.614706,-9560.901691,9.268607]",4022,2914,2.018153,1.878426,226.901627,345.671550,94995.335938,95159.742188,73630.257813,73794.656250,21365.080078,21365.080078,0.000000,0.000000,0.288889,0.276190,
"[-3380.707236,-8985.441507,19.824012]",1720,774,0.270967,1.074359,340.001099,359.807527,82521.109375,82173.164063,61156.031250,60808.070313,21365.080078,21365.080078,0.000000,0.000000,0.436508,0.444444,
"[-2755.330223,-9358.723884,11.928338]",3213,3276,1.952317,3.260493,266.480865,315.578739,81040.140625,83100.710938,59675.070313,61735.640625,21365.080078,21365.080078,0.000000,0.000000,0.492063,0.466667,
"[-3435.703883,-8936.410362,19.705085]",1524,554,0.415153,3.329630,196.178467,225.104264,66000.656250,72590.343750,44635.570313,51225.265625,21365.080078,21365.080078,0.000000,0.000000,0.565079,0.517460,
"[-2735.957167,-9234.061022,14.963243]",2715,3353,2.309653,0.717177,351.956116,162.135317,59085.949219,59882.722656,37720.867188,38517.640625,21365.080078,21365.080078,0.000000,0.000000,0.712698,0.706349,
"[-3126.842982,-9425.141244,15.598451]",3479,1790,1.080056,4.427782,234.088333,149.349150,51230.992188,51912.335938,29865.917969,30547.263672,21365.080078,21365.080078,0.000000,0.000000,0.734921,0.723810,
"[-3050.089419,-8856.339611,22.288215]",1204,2097,0.549728,1.950626,261.483307,205.850516,89730.734375,89698.679688,68365.656250,68333.593750,21365.080078,21365.080078,0.000000,0.000000,0.326984,0.331746,
"[-3403.605718,-9149.954785,45.696478]",2378,683,3.319329,3.915392,196.350189,207.795170,93138.414063,92927.375000,71773.328125,71562.289063,21365.080078,21365.080078,0.000000,0.000000,0.260317,0.260317,
"[-3088.634078,-8870.968245,22.229076]",1262,1942,0.395250,0.974165,193.559814,138.841023,94900.593750,95084.304688,73535.515625,73719.218750,21365.080078,21365.080078,0.000000,0.000000,0.273016,0.266667,
"[-3126.775831,-9106.438804,16.739322]",2204,1790,4.950889,2.625039,219.184494,349.627555,79987.875000,80856.203125,58622.796875,59491.117188,21365.080078,21365.080078,0.000000,0.000000,0.507937,0.496825,
"[-3476.901005,-8901.772448,17.807449]",1386,389,3.868708,1.324493,270.829041,284.376401,92757.296875,83896.273438,71392.210938,62531.187500,21365.080078,21365.080078,0.000000,0.000000,0.247619,0.434921,
"[-2629.925780,-8958.504644,15.562645]",1613,3777,2.042117,2.241860,271.379333,236.220327,80783.890625,83290.671875,59418.828125,61925.597656,21365.080078,21365.080078,0.000000,0.000000,0.480952,0.457143,
"[-2780.444687,-8756.595869,22.340274]",805,3175,1.810861,4.406853,260.078522,256.230929,72909.539063,72716.750000,51544.460938,51351.679688,21365.080078,21365.080078,0.000000,0.000000,0.355556,0.368254,
"[-3337.730613,-8943.976897,21.711628]",1554,946,1.291730,1.998530,185.777145,174.164781,48043.953125,52500.410156,26678.869141,31135.339844,21365.080078,21365.080078,0.000000,0.000000,0.719048,0.679365,
"[-2932.004433,-8809.965161,22.151060]",1018,2569,4.309469,2.471124,89.698357,110.614056,82563.828125,82785.718750,61198.746094,61420.621094,21365.080078,21365.080078,0.000000,0.000000,0.487302,0.480952,
"[-2740.859188,-9400.020349,9.615157]",3379,3334,1.044479,3.910919,250.633362,17.586813,95253.554688,96997.781250,73888.476563,75632.718750,21365.080078,21365.080078,0.000000,0.000000,0.258730,0.209524,
"[-2841.753525,-8969.299566,19.662328]",1656,2930,4.083430,2.438337,68.995682,153.525929,52407.429688,56200.160156,31042.349609,34835.082031,21365.080078,21365.080078,0.000000,0.000000,0.741270,0.712698,
"[-3092.528834,-9098.435091,18.255142]",2172,1927,0.312260,0.650699,160.410919,209.923080,51727.394531,51592.832031,30362.308594,30227.748047,21365.080078,21365.080078,0.000000,0.000000,0.695238,0.696825,
"[-3066.004200,-8960.522386,20.742168]",1621,2033,0.937250,1.543959,95.912331,76.229201,70299.289063,70816.968750,48934.203125,49451.898438,21365.080078,21365.080078,0.000000,0.000000,0.612698,0.607937,
"[-3389.671891,-9287.732974,31.460981]",2930,738,3.836657,4.575310,11.341572,208.323681,64804.089844,63990.937500,43439.019531,42625.863281,21365.080078,21365.080078,0.000000,0.000000,0.655556,0.663492,
"[-3407.164719,-8935.737781,19.868345]",1522,668,0.679005,3.315675,63.890633,168.132113,92521.429688,92471.625000,71156.343750,71106.539063,21365.080078,21365.080078,0.000000,0.000000,0.330159,0.331746,
"[-3051.868920,-9492.533846,10.818173]",3749,2089,2.320754,1.658876,314.549988,110.901382,65287.542969,63834.925781,43922.464844,42469.851563,21365.080078,21365.080078,0.000000,0.000000,0.588889,0.607937,
"[-2895.709332,-8896.526317,21.831274]",1365,2714,1.929004,4.308151,79.237328,333.284649,91129.703125,90823.054688,69764.632813,69457.976563,21365.080078,21365.080078,0.000000,0.000000,0.365079,0.371429,
"[-3254.362680,-8798.665802,20.384103]",973,1279,0.538573,1.021704,237.369202,18.545618,91910.125000,91734.828125,70545.046875,70369.757813,21365.080078,21365.080078,0.000000,0.000000,0.255556,0.290476,
"[-3384.031209,-8971.384567,19.787826]",1664,761,0.250285,0.927693,348.464386,224.100399,89261.726563,89316.007813,67896.640625,67950.921875,21365.080078,21365.080078,0.000000,0.000000,0.357143,0.357143,
"[-2862.906082,-9005.181755,19.943630]",1799,2845,4.129735,4.226751,210.869019,67.166991,77190.101563,77081.773438,55825.031250,55716.703125,21365.080078,21365.080078,0.000000,0.000000,0.533333,0.534921,
"[-3069.731079,-8942.026412,22.018531]",1547,2018,3.172696,1.214225,198.062119,188.359128,64438.800781,66149.046875,43073.722656,44783.964844,21365.080078,21365.080078,0.000000,0.000000,0.653968,0.636508,
"[-2635.163556,-8789.115154,19.531732]",935,3756,1.768176,2.872923,258.824066,264.391344,76535.500000,81252.445313,55170.417969,59887.359375,21365.080078,21365.080078,0.000000,0.000000,0.557143,0.507937,
"[-3332.895743,-8740.252155,21.676344]",740,965,1.827105,3.348609,159.121384,175.664327,83548.273438,82980.304688,62183.195313,61615.222656,21365.080078,21365.080078,0.000000,0.000000,0.438095,0.458730,
"[-2763.589792,-9347.189122,12.045907]",3167,3243,2.430792,1.593669,342.669006,283.229050,78649.906250,79573.812500,57284.820313,58208.730469,21365.080078,21365.080078,0.000000,0.000000,0.533333,0.523810,
"[-3449.906314,-9012.815548,36.940580]",1830,497,2.017595,1.997029,105.040726,52.728827,82680.156250,82142.679688,61315.074219,60777.589844,21365.080078,21365.080078,0.000000,0.000000,0.209524,0.241270,
"[-3219.779929,-8776.571521,21.185566]",885,1418,1.205789,2.238261,281.255951,294.120923,97674.101563,97619.062500,76309.039063,76254.000000,21365.080078,21365.080078,0.000000,0.000000,0.196825,0.200000,
"[-3376.644602,-9196.631897,17.391506]",2565,790,0.958829,2.262713,304.928894,341.498790,53726.980469,53878.636719,32361.896484,32513.552734,21365.080078,21365.080078,0.000000,0.000000,0.728571,0.726984,
"[-2691.536798,-9382.768650,9.882244]",3310,3531,1.026940,1.765578,237.102127,252.335431,83955.250000,85096.429688,62590.179688,63731.359375,21365.080078,21365.080078,0.000000,0.000000,0.411111,0.403175,
"[-3142.019102,-9238.500055,15.214081]",2733,1729,0.308850,2.523887,225.723953,338.994873,84346.867188,83352.421875,62981.792969,61987.347656,21365.080078,21365.080078,0.000000,0.000000,0.426984,0.438095,
"[-3265.509741,-8857.415740,20.146791]",1208,1235,3.114661,4.601360,187.240234,127.752361,87672.046875,87744.804688,66306.960938,66379.718750,21365.080078,21365.080078,0.000000,0.000000,0.387302,0.382540,
