pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-3422.34,-9237.42,39.7607]",2728,608,3.10447,2.25915,236.46,218.452,79070.460938,81101.281250,57705.390625,59738.414063,21365.080078,21356.773438,0.000000,6.078351,0.500000,0.507937,
"[-2806.062783,-9270.279501,13.271620]",2860,3073,1.724768,1.835436,236.829575,24.036221,76986.664063,76167.125000,55621.589844,54803.574219,21365.080078,21359.599609,0.000000,3.965087,0.515873,0.511111,
"[-3174.923079,-9561.036207,10.718626]",4023,1597,1.198283,1.435110,296.910858,288.617853,77831.039063,80822.601563,56465.968750,59458.406250,21365.080078,21361.728516,0.000000,2.468035,0.438095,0.433333,
"[-3284.009834,-8870.026631,19.650220]",1259,1161,1.678880,2.722930,187.545853,172.420115,87043.992188,86537.250000,65678.914063,65174.378906,21365.080078,21353.017578,0.000000,9.857024,0.417460,0.415873,
"[-3178.515656,-9297.888945,14.384703]",2970,1583,2.217994,3.455352,322.490295,0.147692,66953.640625,68158.945313,45588.566406,46801.132813,21365.080078,21345.660156,0.000000,12.149124,0.507937,0.506349,
"[-3351.899468,-9524.582324,17.931959]",3877,889,0.817669,3.685515,258.795197,294.558574,45451.316406,47633.386719,24086.228516,26280.916016,21365.080078,21342.988281,0.000000,9.479992,0.707937,0.695238,
"[-2594.335765,-8896.761721,15.580851]",1366,3920,1.445785,2.501415,317.416412,22.227243,64148.730469,58858.632813,42783.656250,37497.890625,21365.080078,21354.898438,0.000000,5.841925,0.615873,0.631746,
"[-3364.322398,-9074.323068,19.625314]",2076,840,3.759599,4.326986,267.108368,111.713442,89526.210938,80916.382813,68161.125000,59556.261719,21365.080078,21334.630859,0.000000,25.501043,0.395238,0.395238,
"[-2981.360398,-8735.275056,21.268507]",720,2372,1.977916,1.709515,140.573669,109.009066,89940.179688,88575.828125,68575.101563,67211.398438,21365.080078,21360.326172,0.000000,4.096802,0.333333,0.295238,
"[-2857.433277,-9563.356611,9.147799]",4032,2867,0.703510,4.745239,302.510101,300.017432,84299.500000,92892.914063,62934.410156,71535.343750,21365.080078,21328.462891,0.000000,29.090019,0.441270,0.422222,
"[-3032.361563,-8877.391392,22.131549]",1288,2167,1.172233,1.737396,281.027130,140.432985,83685.570313,82155.140625,62320.488281,60791.117188,21365.080078,21360.167969,0.000000,3.845878,0.409524,0.411111,
