size, percentage
4,72.1405,
4,82.598,
4,79.4118,
4,81.0458,
4,85.5392,
4,86.9281,
4,80.8824,
4,80.9641,
4,82.1078,
4,83.0882,
4,83.5784,
4,86.2745,
4,61.8464,
4,84.3137,
4,86.0294,
4,84.232,
4,77.8595,
4,71.2418,
4,70.098,
4,86.8464,
4,80.4739,
4,83.0065,
4,82.8431,
4,77.1242,
4,88.8889,
4,84.1503,
4,86.1928,
4,83.415,
4,79.2484,
4,82.0261,
4,80.3922,
4,89.134,
4,82.7614,
4,80.4739,
4,79.8203,
4,76.5523,
4,58.0882,
4,79.3301,
4,86.1928,
4,79.902,
4,85.7843,
4,83.9869,
4,74.0196,
4,86.7647,
4,85.6209,
4,81.9444,
4,81.5359,
4,83.2516,
4,75.6536,
4,84.232,
4,81.4542,
4,84.8039,
4,79.6569,
4,71.8137,
4,81.2092,
4,78.7582,
4,84.1503,
4,70.8333,
4,78.268,
4,84.3137,
4,85.049,
4,80.9641,
4,89.2157,
4,77.9412,
4,82.3529,
4,77.5327,
4,84.3954,
4,81.2908,
4,82.4346,
4,82.3529,
4,84.1503,
4,82.598,
4,81.4542,
4,85.6209,
4,84.9673,
4,84.8856,
4,81.6993,
4,79.0033,
4,81.6993,
4,86.5196,
4,81.3725,
4,87.0915,
4,67.8105,
4,79.6569,
4,85.1307,
4,65.4412,
4,86.8464,
4,82.6797,
4,83.415,
4,85.3758,
4,77.3693,
4,83.9052,
4,78.5131,
4,85.049,
4,78.5131,
4,77.2059,
4,85.2941,
4,84.9673,
4,84.1503,
4,84.8856,
4,84.3137,
4,73.9379,
4,76.7157,
4,90.1144,
4,81.5359,
4,83.5784,
4,88.2353,
4,79.4118,
4,90.3595,
4,66.3399,
4,83.4967,
4,75.9804,
4,83.1699,
4,75.9804,
4,83.0065,
4,83.0065,
4,78.5948,
4,83.6601,
4,80.0654,
4,83.3333,
4,88.0719,
4,84.5588,
4,82.9248,
4,81.3725,
4,86.0294,
4,83.415,
4,83.5784,
4,88.2353,
4,84.4771,
4,85.2124,
4,82.1078,
4,76.3072,
4,86.6013,
4,59.6405,
4,84.1503,
4,81.8627,
4,83.9052,
4,89.7876,
4,85.7843,
4,58.9869,
4,84.5588,
4,82.4346,
4,64.0523,
4,74.0196,
4,86.8464,
4,81.8627,
4,84.8856,
4,85.049,
4,86.7647,
4,78.0229,
4,86.4379,
4,85.6209,
4,82.4346,
4,81.3725,
4,83.6601,
4,84.8856,
4,85.5392,
4,84.6405,
4,85.3758,
4,80.8824,
4,83.4967,
4,86.4379,
4,84.8856,
4,81.1275,
4,82.1078,
4,81.2092,
4,53.6765,
4,86.5196,
4,79.6569,
4,77.2876,
4,70.4248,
4,84.6405,
4,84.7222,
4,81.6176,
4,78.5948,
4,82.4346,
4,87.3366,
4,83.3333,
4,80.9641,
4,79.1667,
4,80.719,
4,80.5556,
4,85.049,
4,78.4314,
4,78.268,
4,87.9902,
4,65.768,
4,52.7778,
4,80.3922,
4,82.8431,
4,72.4673,
4,90.3595,
4,78.8399,
4,82.6797,
4,79.085,
4,83.0882,
4,83.415,
4,86.2745,
4,77.6144,
4,79.7386,
4,78.1046,
4,91.4216,
4,77.6961,
4,79.6569,
4,84.232,
4,78.9216,
4,76.8791,
4,83.9869,
4,85.5392,
4,76.5523,
4,77.0425,
4,81.6176,
4,79.6569,
4,77.2876,
4,85.7026,
4,83.9052,
4,78.5131,
4,64.0523,
4,79.2484,
4,83.8235,
4,84.9673,
4,84.232,
4,80.8824,
4,77.3693,
4,87.6634,
4,85.2124,
4,89.951,
4,64.3791,
4,83.2516,
4,70.2614,
4,81.6176,
4,82.7614,
4,83.8235,
4,84.3954,
4,82.7614,
4,86.6013,
4,88.317,
4,86.4379,
4,86.0294,
4,82.1895,
4,79.2484,
4,86.1111,
4,77.6144,
4,81.5359,
4,83.9052,
4,88.6438,
4,86.3562,
4,82.1895,
4,81.1275,
4,81.2908,
4,80.3922,
4,86.0294,
4,84.8039,
4,81.9444,
4,87.1732,
4,86.683,
4,85.3758,
4,70.9967,
4,87.3366,
4,78.6765,
4,79.4935,
4,87.0098,
4,63.8072,
4,79.4935,
4,77.9412,
4,79.4118,
4,78.4314,
4,81.781,
4,84.1503,
4,78.1046,
4,85.4575,
4,87.5,
4,80.8824,
4,80.3922,
4,81.8627,
4,81.1275,
4,80.719,
4,89.3791,
4,62.9902,
4,79.4118,
4,85.2124,
4,84.4771,
4,84.4771,
4,74.6732,
4,83.3333,
4,67.0752,
4,85.4575,
4,78.1046,
4,87.5817,
4,82.8431,
4,78.6765,
4,84.6405,
4,85.6209,
4,81.0458,
4,85.3758,
4,83.2516,
4,83.3333,
4,86.1928,
4,86.2745,
4,80.8824,
4,76.3072,
4,78.1046,
4,87.9902,
4,83.1699,
4,81.9444,
4,86.5196,
4,83.415,
4,81.2092,
4,85.2941,
4,83.415,
4,87.7451,
4,82.4346,
4,82.2712,
4,86.2745,
4,66.6667,
4,79.8203,
4,74.7549,
4,88.8072,
4,66.585,
4,83.6601,
4,67.1569,
4,84.5588,
4,77.9412,
4,80.3105,
4,78.9216,
4,72.6307,
4,86.7647,
4,86.3562,
4,86.1928,
4,78.5948,
4,88.9706,
4,84.7222,
4,91.5033,
4,82.3529,
4,88.9706,
4,86.7647,
4,83.0882,
4,84.3954,
4,81.3725,
4,86.4379,
4,82.1078,
4,77.2876,
4,80.8824,
4,85.9477,
4,83.5784,
4,81.6176,
4,77.9412,
4,78.1863,
4,82.6797,
4,87.3366,
4,81.3725,
4,83.4967,
4,78.4314,
4,84.1503,
4,83.0882,
4,83.4967,
